id	Source	webSource	Fusion_pair	H_gene	H_chr	H_position	H_strand	T_gene	T_chr	T_position	T_strand	Breakpoint_Type	Genome_Build_Version	PMID	Disease	Validation	Kinase	Oncogene	Tumor_suppressor	Receptor	Transcription_Factor	ChimerPub	ChimerSeq
20	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3458+30		ABL1		635-517		Exonic	hg19				Kinase	Oncogene				Pub	Seq
21	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		4073		ABL1		1		Exonic	hg19				Kinase	Oncogene				Pub	Seq
22	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		2866		ABL1		461		Exonic	hg19				Kinase	Oncogene				Pub	Seq
23	Cosmic_recurrent	Cosmic	BCR_ABL1	BCR		3410		ABL1		461-?		Exonic	hg19				Kinase	Oncogene				Pub	Seq
24	Cosmic_recurrent	Cosmic	BCR_JAK2	BCR		3458		JAK2		1830		Exonic	hg19				Kinase	Oncogene				Pub	Seq
25	Cosmic_recurrent	Cosmic	BCR_JAK2	BCR		2030+455		JAK2		2626		Exonic	hg19				Kinase	Oncogene				Pub	Seq
26	Cosmic_recurrent	Cosmic	BCR_JAK2	BCR		2030		JAK2		2929		Exonic	hg19				Kinase	Oncogene				Pub	Seq
27	Cosmic_recurrent	Cosmic	CANT1_ETV4	CANT1		154+8364		ETV4		518-1734		Exonic	hg19										Seq
28	Cosmic_recurrent	Cosmic	CCDC6_RET	CCDC6		535		RET		2369		Exonic	hg19					Oncogene				Pub	Seq
29	Cosmic_recurrent	Cosmic	CCDC6_RET	CCDC6		685		RET		2369		Exonic	hg19					Oncogene				Pub	Seq
30	Cosmic_recurrent	Cosmic	CCDC6_RET	CCDC6		535+1111		RET		2369-807		Exonic	hg19					Oncogene				Pub	Seq
31	Cosmic_recurrent	Cosmic	CCDC6_RET	CCDC6		535+1054		RET		2369-?		Exonic	hg19					Oncogene				Pub	Seq
32	Cosmic_recurrent	Cosmic	CCDC6_RET	CCDC6		1462+848		RET		2237		Exonic	hg19					Oncogene				Pub	Seq
33	Cosmic_recurrent	Cosmic	CHCHD7_PLAG1	CHCHD7		83		PLAG1		160		Exonic	hg19									Pub	Seq
34	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1886		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
35	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2354		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
36	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2102		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
37	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3326		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
38	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3542		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
39	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1940		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
40	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		707		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
41	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3488		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
42	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2732		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
43	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2246		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
44	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2948		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
45	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2516		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
46	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3164		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
47	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1175		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
48	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3650		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
49	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2678		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
50	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2462		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
51	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1022		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
52	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		662		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
53	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1418		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
54	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1319		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
55	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3933		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
56	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		761		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
57	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		4124		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
58	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3056		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
59	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		923		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
60	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		869		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
61	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1733		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
62	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1274		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
63	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1472		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
64	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1076		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
65	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2147		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
66	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3218		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
67	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		2786		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
68	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3380		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
69	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1994		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
70	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		3326+261		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
71	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		590		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
72	Cosmic_recurrent	Cosmic	COL1A1_PDGFB	COL1A1		1121		PDGFB		852		Exonic	hg19					Oncogene				Pub	Seq
73	Cosmic_recurrent	Cosmic	COL1A2_PLAG1	COL1A2		541		PLAG1		160		Exonic	hg19										Seq
74	Cosmic_recurrent	Cosmic	CRTC1_MAML2	CRTC1		214		MAML2		1799		Exonic	hg19									Pub	Seq
75	Cosmic_recurrent	Cosmic	MAML2_CRTC1	MAML2		1798		CRTC1		215		Exonic	hg19									Pub	Seq
76	Cosmic_recurrent	Cosmic	CRTC3_MAML2	CRTC3		136		MAML2		1799		Exonic	hg19										Seq
77	Cosmic_recurrent	Cosmic	DCTN1_ALK	DCTN1		3514		ALK		4080		Exonic	hg19					Oncogene				Pub	Seq
78	Cosmic_recurrent	Cosmic	DCTN1_ALK	DCTN1		2172		ALK		4080		Exonic	hg19					Oncogene				Pub	Seq
79	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
80	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929+220		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
81	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2504		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
82	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
83	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2318+654		ALK		4080-172		Exonic	hg19				Kinase	Oncogene				Pub	Seq
84	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929		ALK		4080-18		Exonic	hg19				Kinase	Oncogene				Pub	Seq
85	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2318		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
86	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		470		ALK		4080-117		Exonic	hg19				Kinase	Oncogene				Pub	Seq
87	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2029		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
88	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2229		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
89	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751		ALK		4080-69		Exonic	hg19				Kinase	Oncogene				Pub	Seq
90	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1903		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
91	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929		ALK		3975		Exonic	hg19				Kinase	Oncogene				Pub	Seq
92	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2229+2522		ALK		4126		Exonic	hg19				Kinase	Oncogene				Pub	Seq
93	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751		ALK		4080-90		Exonic	hg19				Kinase	Oncogene				Pub	Seq
94	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1903		ALK		4080-123		Exonic	hg19				Kinase	Oncogene				Pub	Seq
95	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		470		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
96	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2504		ALK		4080-18		Exonic	hg19				Kinase	Oncogene				Pub	Seq
97	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929+805		ALK		4080-115		Exonic	hg19				Kinase	Oncogene				Pub	Seq
98	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1903		ALK		4129		Exonic	hg19				Kinase	Oncogene				Pub	Seq
99	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2504+182		ALK		4080-67		Exonic	hg19				Kinase	Oncogene				Pub	Seq
100	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751+447		ALK		4080-161		Exonic	hg19				Kinase	Oncogene				Pub	Seq
101	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		929+(7320)		ALK		4080		Exonic	hg19				Kinase	Oncogene				Pub	Seq
102	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		2504+545		ALK		4080-232		Exonic	hg19				Kinase	Oncogene				Pub	Seq
103	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751+(3600)		ALK		4080-297		Exonic	hg19				Kinase	Oncogene				Pub	Seq
104	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751+1485		ALK		4080-1254		Exonic	hg19				Kinase	Oncogene				Pub	Seq
105	Cosmic_recurrent	Cosmic	EML4_ALK	EML4		1751+2575		ALK		4080-203		Exonic	hg19				Kinase	Oncogene				Pub	Seq
106	Cosmic_recurrent	Cosmic	ERC1_RET	ERC1		2563		RET		2369		Exonic	hg19					Oncogene					Seq
107	Cosmic_recurrent	Cosmic	ETV6_NTRK3	ETV6		1283		NTRK3		1908		Exonic	hg19				Kinase					Pub	Seq
108	Cosmic_recurrent	Cosmic	ETV6_NTRK3	ETV6		737		NTRK3		1719		Exonic	hg19				Kinase					Pub	Seq
109	Cosmic_recurrent	Cosmic	ETV6_NTRK3	ETV6		1283		NTRK3		1719		Exonic	hg19				Kinase					Pub	Seq
110	Cosmic_recurrent	Cosmic	ETV6_NTRK3	ETV6		737		NTRK3		1908		Exonic	hg19				Kinase					Pub	Seq
111	Cosmic_recurrent	Cosmic	NTRK3_ETV6	NTRK3		1907		ETV6		1284		Exonic	hg19				Kinase					Pub	Seq
112	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1293		ATF1		217		Exonic	hg19								Transcription_Factor	Pub	Seq
113	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1112		ATF1		351		Exonic	hg19								Transcription_Factor	Pub	Seq
114	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1364		ATF1		351		Exonic	hg19								Transcription_Factor	Pub	Seq
115	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1293+504		ATF1		217-5458		Exonic	hg19								Transcription_Factor	Pub	Seq
116	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1112+689		ATF1		351-2234		Exonic	hg19								Transcription_Factor	Pub	Seq
117	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1112+1389		ATF1		351-736		Exonic	hg19								Transcription_Factor	Pub	Seq
118	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1364		ATF1		217		Exonic	hg19								Transcription_Factor	Pub	Seq
119	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1331+476		ATF1		217-5304		Exonic	hg19								Transcription_Factor	Pub	Seq
120	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1112+547		ATF1		313		Exonic	hg19								Transcription_Factor	Pub	Seq
121	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1293+2102		ATF1		217-1369		Exonic	hg19								Transcription_Factor	Pub	Seq
122	Cosmic_recurrent	Cosmic	EWSR1_ATF1	EWSR1		1293		ATF1		217-2075		Exonic	hg19								Transcription_Factor	Pub	Seq
123	Cosmic_recurrent	Cosmic	EWSR1_ERG	EWSR1		1112		ERG		967		Exonic	hg19									Pub	Seq
124	Cosmic_recurrent	Cosmic	EWSR1_ERG	EWSR1		1112		ERG		1141		Exonic	hg19									Pub	Seq
125	Cosmic_recurrent	Cosmic	EWSR1_ERG	EWSR1		1112		ERG		1036		Exonic	hg19									Pub	Seq
126	Cosmic_recurrent	Cosmic	EWSR1_ERG	EWSR1		1364		ERG		967		Exonic	hg19									Pub	Seq
127	Cosmic_recurrent	Cosmic	EWSR1_ERG	EWSR1		1112		ERG		1093		Exonic	hg19									Pub	Seq
128	Cosmic_recurrent	Cosmic	EWSR1_ETV4	EWSR1		1112		ETV4		1073		Exonic	hg19									Pub	Seq
129	Cosmic_recurrent	Cosmic	EWSR1_ETV4	EWSR1		1112+254		ETV4		1073-1081		Exonic	hg19									Pub	Seq
130	Cosmic_recurrent	Cosmic	EWSR1_ETV4	EWSR1		1213		ETV4		1073-1828		Exonic	hg19									Pub	Seq
131	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1112		FLI1		920		Exonic	hg19									Pub	Seq
132	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1112		FLI1		854		Exonic	hg19									Pub	Seq
133	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1364		FLI1		920		Exonic	hg19									Pub	Seq
134	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1364		FLI1		854		Exonic	hg19									Pub	Seq
135	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1112		FLI1		1046		Exonic	hg19									Pub	Seq
136	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1112		FLI1		986		Exonic	hg19									Pub	Seq
137	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1364		FLI1		1046		Exonic	hg19									Pub	Seq
138	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1331		FLI1		650		Exonic	hg19									Pub	Seq
139	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1331		FLI1		986		Exonic	hg19									Pub	Seq
140	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1112		FLI1		1094		Exonic	hg19									Pub	Seq
141	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1364		FLI1		986		Exonic	hg19									Pub	Seq
142	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1293		FLI1		986		Exonic	hg19									Pub	Seq
143	Cosmic_recurrent	Cosmic	EWSR1_FLI1	EWSR1		1293		FLI1		920		Exonic	hg19									Pub	Seq
144	Cosmic_recurrent	Cosmic	EWSR1_NFATC2	EWSR1		1293		NFATC2		1381		Exonic	hg19								Transcription_Factor	Pub	Seq
145	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613		NR4A3		728		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
146	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1112		NR4A3		554		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
147	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1736+340		NR4A3		728-1696		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
148	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1543		NR4A3		728		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
149	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1543		NR4A3		728-816		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
150	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1736		NR4A3		728		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
151	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+309		NR4A3		728-5		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
152	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+1052		NR4A3		728-1754		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
153	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+1443		NR4A3		728-1542		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
154	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+1150		NR4A3		728-286		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
155	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+647		NR4A3		728-1438		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
156	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+430		NR4A3		728-368		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
157	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1112+1373		NR4A3		554-1631		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
158	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1364		NR4A3		728-1311		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
159	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1483		NR4A3		550		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
160	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+1304		NR4A3		554-1806		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
161	Cosmic_recurrent	Cosmic	EWSR1_NR4A3	EWSR1		1613+774		NR4A3		728-1056		Exonic	hg19							Receptor	Transcription_Factor	Pub	Seq
162	Cosmic_recurrent	Cosmic	EWSR1_PATZ1	EWSR1		1293+1021		PATZ1		927		Exonic	hg19										Seq
163	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1112		WT1		1242		Exonic	hg19									Pub	Seq
164	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1331		WT1		1242		Exonic	hg19									Pub	Seq
165	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1364		WT1		1242		Exonic	hg19									Pub	Seq
166	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1293		WT1		1242		Exonic	hg19									Pub	Seq
167	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		732		WT1		1425		Exonic	hg19									Pub	Seq
168	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1293		WT1		1425		Exonic	hg19									Pub	Seq
169	Cosmic_recurrent	Cosmic	EWSR1_WT1	EWSR1		1112		WT1		1332		Exonic	hg19									Pub	Seq
170	Cosmic_recurrent	Cosmic	EWSR1_ZNF384	EWSR1		1112		ZNF384		494		Exonic	hg19										Seq
171	Cosmic_recurrent	Cosmic	EWSR1_ZNF384	EWSR1		1112		ZNF384		1		Exonic	hg19										Seq
172	Cosmic_recurrent	Cosmic	EZR_ROS1	EZR		1259		ROS1		5757		Exonic	hg19					Oncogene					Seq
173	Cosmic_recurrent	Cosmic	EZR_ROS1	EZR		1259+207		ROS1		1259+210		Exonic	hg19					Oncogene					Seq
174	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530+38		TACC3		2048-1459		Exonic	hg19				Kinase					Pub	Seq
175	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530		TACC3		1943		Exonic	hg19				Kinase					Pub	Seq
176	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2654		TACC3		1751-371		Exonic	hg19				Kinase					Pub	Seq
177	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530+136		TACC3		2048-1830		Exonic	hg19				Kinase					Pub	Seq
178	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530+63		TACC3		1877		Exonic	hg19				Kinase					Pub	Seq
179	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530+104		TACC3		541		Exonic	hg19				Kinase					Pub	Seq
180	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530+27		TACC3		2048-1511		Exonic	hg19				Kinase					Pub	Seq
181	Cosmic_recurrent	Cosmic	FGFR3_TACC3	FGFR3		2530		TACC3		1751		Exonic	hg19				Kinase					Pub	Seq
182	Cosmic_recurrent	Cosmic	FUS_ATF1	FUS		628		ATF1		351		Exonic	hg19					Oncogene			Transcription_Factor	Pub	Seq
183	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		869		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
184	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		869		CREB3L2		1121-1325		Exonic	hg19					Oncogene				Pub	Seq
185	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		904		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
186	Cosmic_recurrent	Cosmic	CREB3L2_FUS	CREB3L2		1120		FUS		870		Exonic	hg19					Oncogene					Seq
187	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		904+1056		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
188	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		904+785		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
189	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		904+522		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
190	Cosmic_recurrent	Cosmic	CREB3L2_FUS	CREB3L2		1120		FUS		629		Exonic	hg19					Oncogene					Seq
191	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		869+617		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
192	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		869		CREB3L2		904+1322		Exonic	hg19					Oncogene				Pub	Seq
193	Cosmic_recurrent	Cosmic	CREB3L2_FUS	CREB3L2		454		FUS		905		Exonic	hg19					Oncogene					Seq
194	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		628		CREB3L2		936		Exonic	hg19					Oncogene				Pub	Seq
195	Cosmic_recurrent	Cosmic	FUS_CREB3L2	FUS		628		CREB3L2		936-18		Exonic	hg19					Oncogene				Pub	Seq
